animals|meta|title|What animal are you?
animals|meta|description|Answer a few questions and find out which animal lives inside you
animals|meta|start_btn|Start
animals|meta|result_title|You are a
animals|meta|share_btn|Share
animals|meta|retry_btn|Try again
animals|meta|progress|Question {current} of {total}
peculiar|result|miss_peregrine|desc|You protect those you love at any cost. Strict outside, but every decision is driven by care. You carry responsibility — and carry it well.
peculiar|result|miss_peregrine|trait0|Protection
peculiar|result|miss_peregrine|trait1|Responsibility
peculiar|result|miss_peregrine|trait2|Strength
peculiar|result|bronwyn|name|Bronwyn
peculiar|result|bronwyn|desc|You're stronger than you look — and kinder than they think. You protect the weak not because you must, but because it's right. A gentle giant.
peculiar|result|bronwyn|trait0|Strength
peculiar|result|bronwyn|trait1|Kindness
peculiar|result|bronwyn|trait2|Protection
peculiar|result|millard|name|Millard
peculiar|result|millard|desc|You're invisible but omnipresent. You observe, remember, know more than anyone. Your invisibility isn't a weakness — it's an advantage.
peculiar|result|millard|trait0|Observation
peculiar|result|millard|trait1|Knowledge
peculiar|result|millard|trait2|Subtlety
peculiar|result|horace|name|Horace
peculiar|result|horace|desc|You're elegant and a little old-fashioned — for a reason. You see things ahead and appreciate beauty in details. Your style isn't vanity — it's a language.
peculiar|result|horace|trait0|Elegance
peculiar|result|horace|trait1|Foresight
peculiar|result|horace|trait2|Style
peculiar|result|hugh|name|Hugh
peculiar|result|hugh|desc|You're quiet, but an entire kingdom buzzes within you. Bees live inside you — and you live in harmony with them. Loyal to nature and those you love, you would never betray your swarm.
peculiar|result|hugh|trait0|Loyalty
peculiar|result|hugh|trait1|Quietness
peculiar|result|hugh|trait2|Connection to nature
peculiar|result|fiona|name|Fiona
peculiar|result|fiona|desc|You grow quietly, like a vine in the mist. Shy and earthy, you feel every root and every branch. Where you step — life blooms, even amid the ruins.
peculiar|result|fiona|trait0|Earthiness
peculiar|result|fiona|trait1|Shyness
peculiar|result|fiona|trait2|Quiet strength
peculiar|result|claire|name|Claire
peculiar|result|claire|desc|You're sweet and innocent — but with a secret hidden behind you. Your childlike tenderness disarms, while the mouth on the back of your head reminds us: even angels can be strange.
peculiar|result|claire|trait0|Innocence
peculiar|result|claire|trait1|Sweetness
peculiar|result|claire|trait2|Hidden secret
peculiar|result|abe|name|Abe
peculiar|result|abe|desc|You're the one who walked through darkness and returned with stories. A brave adventurer, a legendary grandfather — your scars tell more than any book. You protected the peculiar, even when the world forgot them.
peculiar|result|abe|trait0|Bravery
peculiar|result|abe|trait1|Experience
peculiar|result|abe|trait2|Storyteller
peculiar|result|caul|name|Caul
peculiar|result|caul|desc|You see the world as a chessboard and people as pieces. Cold, ambitious, and ruthless, you crave power not for its own sake, but because you believe you're the only one worthy of ruling.
peculiar|result|caul|trait0|Manipulation
peculiar|result|caul|trait1|Ambition
peculiar|result|caul|trait2|Coldness
peculiar|result|noor|name|Noor
peculiar|result|noor|desc|You are light in the darkness, literally. Modern, brave, and adaptable, you find a way where others surrender. You manipulate light as easily as you navigate situations — always one step ahead.
peculiar|result|noor|trait0|Bravery
peculiar|result|noor|trait1|Adaptability
peculiar|result|noor|trait2|Radiance
peculiar|result|peculiar_twins|name|The Twins
peculiar|result|peculiar_twins|desc|You're silent and inseparable — two hearts, one mind. Behind masks and silence, you see the world differently. Your telepathy isn't a trick — it's a way of being: words are unnecessary when someone understands you without them.
peculiar|result|peculiar_twins|trait0|Mystery
peculiar|result|peculiar_twins|trait1|Telepathy
peculiar|result|peculiar_twins|trait2|Inseparability
peculiar|result|ricky|name|Ricky
peculiar|result|ricky|desc|You're from the ordinary world — and skeptical of all things strange. Street smarts instead of magic, loyalty instead of peculiarities. You're the friend who doesn't believe in miracles but will have your back without hesitation.
peculiar|result|ricky|trait0|Skepticism
peculiar|result|ricky|trait1|Street smarts
peculiar|result|ricky|trait2|Loyalty
peculiar|result|althea|name|Althea
peculiar|result|althea|desc|You're invisible — not because you hide, but because you choose to observe. Ethereal and independent, you glide through the world like wind: everywhere and nowhere at once. You see what no one else can.
peculiar|result|althea|trait0|Independence
peculiar|result|althea|trait1|Observation
peculiar|result|althea|trait2|Ethereality
peculiar|result|jules|name|Jules
peculiar|result|jules|desc|You're a thousand faces in one body. You shapeshift with ease and delight, because the real you is all those faces combined. Theatrical, unpredictable, and dazzling — life is never boring around you.
peculiar|result|jules|trait0|Theatricality
peculiar|result|jules|trait1|Unpredictability
peculiar|result|jules|trait2|Brilliance
peculiar|result|dogface|name|Dogface
peculiar|result|dogface|desc|You live by instinct — and that's your honesty. Half human, half dog, you're loyal to the bone and simple in your desires. A nose for danger, unconditional devotion — you're the most honest of all the peculiar.
peculiar|result|dogface|trait0|Loyalty
peculiar|result|dogface|trait1|Instinct
peculiar|result|dogface|trait2|Simplicity
peculiar|result|victor|name|Victor
peculiar|result|victor|desc|You're the hero who is no more. Bronwyn's brother, strong and tragic — your absence speaks louder than presence. You remind us: even the strongest can fall, and that's what makes their courage real.
peculiar|result|victor|trait0|Strength
peculiar|result|victor|trait1|Tragedy
peculiar|result|victor|trait2|Heroism
peculiar|result|perplexus|name|Perplexus
peculiar|result|perplexus|desc|You're the navigator between worlds and time loops. Old and wise, you know paths that exist on no map. Mysterious and unhurried — you guide others through labyrinths they cannot even see.
peculiar|result|perplexus|trait0|Wisdom
peculiar|result|perplexus|trait1|Mystery
peculiar|result|perplexus|trait2|Navigation
peculiar|result|myron|name|Myron
peculiar|result|myron|desc|You're the librarian of souls, keeper of knowledge no one else remembers. Quiet and intellectual, you collect stories the way others collect butterflies — with care and reverence. Every page is a living thing to you.
peculiar|result|myron|trait0|Intellect
peculiar|result|myron|trait1|Collecting
peculiar|result|myron|trait2|Quietness
peculiar|question|pq1|text|If you had a peculiarity — which would you choose?
peculiar|option|pq1a|label|🔥 Control fire or air
peculiar|option|pq1b|label|👁️ See others' dreams
peculiar|option|pq1c|label|🎈 Levitate — float above it all
peculiar|option|pq1d|label|🪆 Bring the lifeless to life
peculiar|question|pq2|text|How do you feel among people who don't understand you?
peculiar|option|pq2a|label|🧳 Look for where I truly belong
peculiar|option|pq2b|label|👁️ Quietly observe — don't explain
peculiar|option|pq2c|label|💪 Prove myself through actions
peculiar|option|pq2d|label|🎈 I don't care — I stay myself
peculiar|question|pq3|text|What do you value most about your home?
peculiar|option|pq3a|label|🏠 Safety and protecting loved ones
peculiar|option|pq3b|label|📚 Books and quiet for thinking
peculiar|option|pq3c|label|😄 Laughter and shared moments
peculiar|option|pq3d|label|🎨 Beauty and order
peculiar|question|pq4|text|How do you face danger?
peculiar|option|pq4a|label|⚡ Protect others first
peculiar|option|pq4b|label|🧠 Find a plan — no panic
peculiar|option|pq4c|label|🎈 Stay light — panic won't help
peculiar|option|pq4d|label|🪆 Do what's needed — silently
peculiar|question|pq5|text|What draws you most to the past?
peculiar|option|pq5a|label|❤️ People who are no longer there
peculiar|option|pq5b|label|📖 Knowledge and traditions
peculiar|option|pq5c|label|🕰️ The feeling when everything was simpler
peculiar|option|pq5d|label|🎨 The beauty and style of that era
peculiar|question|pq6|text|How do you act when someone is crying?
peculiar|option|pq6a|label|🤗 Hug and listen
peculiar|option|pq6b|label|🔧 Try to solve the problem
peculiar|option|pq6c|label|😶 Uncomfortable — don't know what to do
peculiar|option|pq6d|label|🎈 Try to cheer them up
peculiar|question|pq7|text|What kind of place feels like yours?
peculiar|option|pq7a|label|🏡 A cozy home where everyone belongs
peculiar|option|pq7b|label|📚 A library or old-fashioned room
peculiar|option|pq7c|label|🌊 Open space — sea or sky
peculiar|option|pq7d|label|🌑 A place where nobody finds me
peculiar|question|pq8|text|How do you feel about your own strangeness?
peculiar|option|pq8a|label|🌟 It's my gift — I'm proud
peculiar|option|pq8b|label|🔍 I study and understand it
peculiar|option|pq8c|label|😔 Sometimes wish I were simpler
peculiar|option|pq8d|label|🖤 It's mine — no need to explain
peculiar|question|pq9|text|How do you deal with nostalgia?
peculiar|option|pq9a|label|📸 I keep every little thing — photos, letters, memories
peculiar|option|pq9b|label|🔥 I remember with warmth, but live in the present
peculiar|option|pq9c|label|🫥 I try not to look back
peculiar|option|pq9d|label|🕰️ I create rituals to keep the past alive
peculiar|question|pq10|text|What role do you play in a group of friends?
peculiar|option|pq10a|label|🛡️ The protector — I make sure everyone is safe
peculiar|option|pq10b|label|🔎 The observer — I notice what others miss
peculiar|option|pq10c|label|🌪️ The spark — I ignite and inspire
peculiar|option|pq10d|label|🆕 The newcomer — I bring a fresh perspective
peculiar|question|pq11|text|How do you react when you discover a lie?
peculiar|option|pq11a|label|🔥 I explode — lies are unacceptable to me
peculiar|option|pq11b|label|🧩 I analyze — why did the person lie?
peculiar|option|pq11c|label|💔 I silently get hurt and distance myself
peculiar|option|pq11d|label|🖤 I'm not surprised — people always lie
peculiar|question|pq12|text|What would you save from a burning house?
peculiar|option|pq12a|label|👨‍👩‍👧 The people — everything else is replaceable
peculiar|option|pq12b|label|📖 A journal or book — my thoughts live there
peculiar|option|pq12c|label|🔑 Something small but deeply precious to me
peculiar|option|pq12d|label|🚪 Nothing — I just move on
peculiar|question|pq13|text|How do you deal with loneliness?
peculiar|option|pq13a|label|📚 I dive into books or research
peculiar|option|pq13b|label|💪 I look for someone who needs help
peculiar|option|pq13c|label|🎭 I pretend I don't care, though it hurts inside
peculiar|option|pq13d|label|🎈 I find joy in small things around me
peculiar|question|pq14|text|What's your attitude toward the unknown?
peculiar|option|pq14a|label|🚀 The unknown pulls me like a magnet
peculiar|option|pq14b|label|🧪 I want to study it before stepping in
peculiar|option|pq14c|label|🏠 I prefer the known and safe
peculiar|option|pq14d|label|⚡ I'm not afraid — I've seen the worst already
peculiar|question|pq15|text|How do you show love?
peculiar|option|pq15a|label|🔥 Fiercely and without compromise
peculiar|option|pq15b|label|🤲 Through quiet actions and care
peculiar|option|pq15c|label|🎁 With unexpected gifts and surprises
peculiar|option|pq15d|label|🖤 It's hard for me to show, but I'm always there
peculiar|question|pq16|text|What's your relationship with time?
peculiar|option|pq16a|label|⏳ Time is something to protect and control
peculiar|option|pq16b|label|🏃 Time is running — I must do everything
peculiar|option|pq16c|label|🎈 Time doesn't matter when you're happy
peculiar|option|pq16d|label|💀 Time is an illusion — everything ends anyway
peculiar|question|pq17|text|How do you face your fears?
peculiar|option|pq17a|label|⚔️ I run toward them — come what may
peculiar|option|pq17b|label|🧠 I break fear into pieces and analyze it
peculiar|option|pq17c|label|🤝 It's easier with someone by my side
peculiar|option|pq17d|label|🌙 I pretend I'm not afraid
peculiar|question|pq18|text|What do you do when nobody's watching?
peculiar|option|pq18a|label|👻 I observe the world unnoticed
peculiar|option|pq18b|label|🎨 I draw, dream, or create something
peculiar|option|pq18c|label|🏋️ I train and prepare for the next challenge
peculiar|option|pq18d|label|🕯️ I indulge in my dark hobbies
peculiar|question|pq19|text|What's your ideal way to spend a rainy day?
peculiar|option|pq19a|label|☕ A book, tea, and a blanket
peculiar|option|pq19b|label|🌧️ I'll go out in the rain — to feel the elements
peculiar|option|pq19c|label|🧸 I'll spend time with the people I love
peculiar|option|pq19d|label|🗂️ I'll organize everything and make plans
peculiar|question|pq20|text|How do you react to injustice?
peculiar|option|pq20a|label|🔥 I fight openly — silence is not an option
peculiar|option|pq20b|label|📝 I gather facts and prove the truth
peculiar|option|pq20c|label|😢 I feel it deeply but don't know how to act
peculiar|option|pq20d|label|😏 The world is unfair — I got used to it long ago
peculiar|question|pq21|text|What draws you to a person?
peculiar|option|pq21a|label|✨ Courage and inner fire
peculiar|option|pq21b|label|🧠 Intelligence and depth of thought
peculiar|option|pq21c|label|💛 Kindness and sincerity
peculiar|option|pq21d|label|🖤 Mystery and being hard to read
peculiar|question|pq22|text|How do you handle responsibility?
peculiar|option|pq22a|label|🦅 I take it all on — it's safer that way
peculiar|option|pq22b|label|💪 I'm ready to carry the burden for others
peculiar|option|pq22c|label|😬 It weighs on me, but I try
peculiar|option|pq22d|label|🚫 I avoid it — I don't want people depending on me
peculiar|question|pq23|text|What kind of art speaks to you?
peculiar|option|pq23a|label|🎭 Theater and performance — raw emotions
peculiar|option|pq23b|label|🖋️ Literature — words hold power
peculiar|option|pq23c|label|👔 Fashion and style — appearance as expression
peculiar|option|pq23d|label|🖤 Dark art — sculpture, shadows, taxidermy
peculiar|question|pq24|text|What do you dream about?
peculiar|option|pq24a|label|🔮 I see visions of the future — vivid and strange
peculiar|option|pq24b|label|🏡 About a place where I finally belong
peculiar|option|pq24c|label|⚡ About adventures and battles
peculiar|option|pq24d|label|🌑 About things better left untold
peculiar|question|pq25|text|How do you say goodbye?
peculiar|option|pq25a|label|🫂 I hug tightly and don't want to let go
peculiar|option|pq25b|label|🔥 I say everything on my heart — no holding back
peculiar|option|pq25c|label|🚶 I quietly disappear — it's easier that way
peculiar|option|pq25d|label|🕊️ I say 'see you' — because goodbyes don't exist
food|meta|title|Which dish are you?
food|meta|description|Answer a few questions and find out which dish you are
food|meta|start_btn|Start
food|meta|result_title|You are
food|meta|share_btn|Share
food|meta|retry_btn|Try again
food|meta|progress|Question {current} of {total}
food|result|borshch|name|Borscht
food|result|borshch|desc|You're a timeless classic. Warm, rich, and multi-layered. Everyone loves you because you're genuine.
food|result|borshch|trait0|Tradition
food|result|borshch|trait1|Depth
food|result|borshch|trait2|Warmth
food|result|pizza|name|Pizza
food|result|pizza|desc|You're the life of the party. Versatile, vibrant, and always fitting. Every evening becomes a party with you.
food|result|pizza|trait0|Fun
food|result|pizza|trait1|Flexibility
food|result|pizza|trait2|Popularity
food|result|sushi|name|Sushi
food|result|sushi|desc|You're elegant and precise. Simple on the outside, complex within. You value quality over quantity.
food|result|sushi|trait0|Elegance
food|result|sushi|trait1|Balance
food|result|sushi|trait2|Refinement
food|result|varenyky|name|Varenyky
food|result|varenyky|desc|You're pure comfort. Tender, sincere, and always reminding of home. People feel safe around you.
food|result|varenyky|trait0|Comfort
food|result|varenyky|trait1|Sincerity
food|result|varenyky|trait2|Tenderness
food|result|ramen|name|Ramen
food|result|ramen|desc|You're complex and deep. It takes time to understand you, but it's worth it. You warm from within.
food|result|ramen|trait0|Depth
food|result|ramen|trait1|Complexity
food|result|ramen|trait2|Soulfulness
food|result|steak|name|Steak
food|result|steak|desc|You're confidence and strength. No extras, no decorations — just the essence. You know your worth.
food|result|steak|trait0|Confidence
food|result|steak|trait1|Strength
food|result|steak|trait2|Directness
food|result|croissant|name|Croissant
food|result|croissant|desc|You're an aesthete to the core. Light, airy, and a little mysterious. You turn everyday life into art.
food|result|croissant|trait0|Aesthetics
food|result|croissant|trait1|Lightness
food|result|croissant|trait2|Mystery
food|result|tacos|name|Tacos
food|result|tacos|desc|You're pure energy and spontaneity. Bright, spicy, unpredictable. It's never boring with you.
food|result|tacos|trait0|Energy
food|result|tacos|trait1|Spontaneity
food|result|tacos|trait2|Vibrancy
food|result|pad_thai|name|Pad Thai
food|result|pad_thai|desc|You're harmony in everything. Balanced, exotic yet approachable. You blend opposites with effortless grace.
food|result|pad_thai|trait0|Balance
food|result|pad_thai|trait1|Harmony
food|result|pad_thai|trait2|Openness
food|result|cheesecake|name|Cheesecake
food|result|cheesecake|desc|You're pure indulgence. Layered, sweet, and irresistible. Impossible to forget after the first encounter.
food|result|cheesecake|trait0|Indulgence
food|result|cheesecake|trait1|Layers
food|result|cheesecake|trait2|Charm
food|result|hummus|name|Hummus
food|result|hummus|desc|You're simplicity and sincerity. You bring people together and create a sense of community. Always ready to share.
food|result|hummus|trait0|Simplicity
food|result|hummus|trait1|Generosity
food|result|hummus|trait2|Community
food|result|pho|name|Pho
food|result|pho|desc|You're healing and warmth. Patient, nurturing, and deep. You warm the soul and help others recover.
food|result|pho|trait0|Healing
food|result|pho|trait1|Patience
food|result|pho|trait2|Nurturing
food|result|paella|name|Paella
food|result|paella|desc|You're a celebration in every moment. Generous, colorful, and unifying. You turn an ordinary meal into an event.
food|result|paella|trait0|Generosity
food|result|paella|trait1|Festivity
food|result|paella|trait2|Vibrancy
food|result|curry|name|Curry
food|result|curry|desc|You're complexity and boldness. Layered, rich, and always full of character. You're not afraid to stand out.
food|result|curry|trait0|Boldness
food|result|curry|trait1|Complexity
food|result|curry|trait2|Character
food|result|gelato|name|Gelato
food|result|gelato|desc|You're joy and lightness. Sweet, refined, and always lifting spirits. You make any day brighter.
food|result|gelato|trait0|Joy
food|result|gelato|trait1|Lightness
food|result|gelato|trait2|Refinement
food|result|burger|name|Burger
food|result|burger|desc|You're straightforward and satisfying. No pretense, no fuss — just honest and delicious. A universal crowd-pleaser.
food|result|burger|trait0|Directness
food|result|burger|trait1|Satisfaction
food|result|burger|trait2|Simplicity
food|result|dim_sum|name|Dim Sum
food|result|dim_sum|desc|You're variety and delicacy. You love socializing, value details, and always have something to offer.
food|result|dim_sum|trait0|Variety
food|result|dim_sum|trait1|Delicacy
food|result|dim_sum|trait2|Sociability
food|result|pancakes|name|Pancakes
food|result|pancakes|desc|You're coziness and nostalgia. Warm, sweet, and always reminding of the best moments. You're a morning ray of happiness.
food|result|pancakes|trait0|Coziness
food|result|pancakes|trait1|Nostalgia
food|result|pancakes|trait2|Sweetness
food|result|ceviche|name|Ceviche
food|result|ceviche|desc|You're freshness and daring. Modern, bold, and always a step ahead. You're not afraid to experiment.
food|result|ceviche|trait0|Freshness
food|result|ceviche|trait1|Daring
food|result|ceviche|trait2|Modernity
food|result|shawarma|name|Shawarma
food|result|shawarma|desc|You're street-smart and energetic. Quick, bold, and always satisfying. You know how to make the most of everything.
food|result|shawarma|trait0|Street-smarts
food|result|shawarma|trait1|Energy
food|result|shawarma|trait2|Boldness
food|result|fondue|name|Fondue
food|result|fondue|desc|You're warmth and togetherness. Romantic, social, and always bringing people together. Everyone feels special around you.
food|result|fondue|trait0|Warmth
food|result|fondue|trait1|Romance
food|result|fondue|trait2|Togetherness
food|result|matcha|name|Matcha
food|result|matcha|desc|You're mindfulness and calm. Aesthetic, balanced, and always in harmony. You find beauty in simplicity.
food|result|matcha|trait0|Mindfulness
food|result|matcha|trait1|Calm
food|result|matcha|trait2|Aesthetics
food|question|fq1|text|What kind of morning makes you happiest?
food|option|fq1a|label|☕ Coffee, silence, and a slow morning
food|option|fq1b|label|🍳 Big breakfast with family
food|option|fq1c|label|🏃 Quick snack and off to work
food|option|fq1d|label|🎶 Music, dancing, breakfast on the go
food|question|fq2|text|How do you behave in a new group?
food|option|fq2a|label|🌟 I immediately become the center of attention
food|option|fq2b|label|😊 Quietly get to know everyone
food|option|fq2c|label|🎩 Make an impression with style
food|option|fq2d|label|🤷 Depends on my mood
food|question|fq3|text|What do you value most in friendship?
food|option|fq3a|label|🤝 Reliability and honesty
food|option|fq3b|label|😂 Fun and shared adventures
food|option|fq3c|label|🎭 Deep conversations and understanding
food|option|fq3d|label|🏠 Coziness and peace together
food|question|fq4|text|How do you handle stress?
food|option|fq4a|label|💪 Pull myself together and act
food|option|fq4b|label|🛀 Rest and recover
food|option|fq4c|label|🎉 Look for positive vibes and distract myself
food|option|fq4d|label|📝 Analyze causes and make a plan
food|question|fq5|text|Choose your perfect evening:
food|option|fq5a|label|🕯️ Book, candles, silence
food|option|fq5b|label|🎬 Movie with friends and snacks
food|option|fq5c|label|🎤 Karaoke or a club
food|option|fq5d|label|🍽️ Fancy candlelit dinner
food|question|fq6|text|Which superpower is closest to you?
food|option|fq6a|label|🔮 Read minds
food|option|fq6b|label|⏱️ Stop time
food|option|fq6c|label|🦸 Super strength
food|option|fq6d|label|✈️ Teleportation
food|question|fq7|text|How do your friends describe you?
food|option|fq7a|label|🧸 Warm and caring
food|option|fq7b|label|🔥 Fiery and bright
food|option|fq7c|label|🎨 Creative and unusual
food|option|fq7d|label|🏋️ Strong and reliable
food|question|fq8|text|What travel style suits you?
food|option|fq8a|label|🏛️ Culture, museums, architecture
food|option|fq8b|label|🏖️ Beach, cocktails, relaxation
food|option|fq8c|label|🎒 Adventures, hiking, extreme
food|option|fq8d|label|🏡 Staying home — the best trip
food|question|fq9|text|What motivates you the most?
food|option|fq9a|label|🏆 Recognition and success
food|option|fq9b|label|💡 Ideas and inspiration
food|option|fq9c|label|👨‍👩‍👧‍👦 Family and loved ones
food|option|fq9d|label|🌍 Discovering new things
food|question|fq10|text|Choose a color that describes you:
food|option|fq10a|label|❤️ Red — passion
food|option|fq10b|label|💛 Yellow — joy
food|option|fq10c|label|💙 Blue — calm
food|option|fq10d|label|💜 Purple — mystery
food|question|fq11|text|How do you act at a restaurant?
food|option|fq11a|label|📖 I study the entire menu from start to finish
food|option|fq11b|label|🎉 I order everything — let's try it all!
food|option|fq11c|label|🏠 I go with my tried-and-true favorite
food|option|fq11d|label|💪 I know exactly what I want — no hesitation
food|question|fq12|text|What's your approach to gift-giving?
food|option|fq12a|label|🎁 I make something handmade — with soul
food|option|fq12b|label|🎯 I find the perfect gift, even if it takes a month
food|option|fq12c|label|🎈 It's all about emotions! I throw a surprise party
food|option|fq12d|label|✨ I give something elegant and stylish
food|question|fq13|text|How do you spend money?
food|option|fq13a|label|💰 I save and plan — stability above all
food|option|fq13b|label|🛍️ On experiences and fun with friends
food|option|fq13c|label|🖼️ On beautiful things and aesthetics
food|option|fq13d|label|🥩 On quality — less but better
food|question|fq14|text|What's your social media style?
food|option|fq14a|label|📸 Aesthetic feed — every photo is a work of art
food|option|fq14b|label|🤪 Memes, stories, and chaotic posts
food|option|fq14c|label|🔒 I rarely post — I'm here to observe
food|option|fq14d|label|👨‍👩‍👧 Family photos, recipes, cozy moments
food|question|fq15|text|How do you deal with boredom?
food|option|fq15a|label|🧪 I start a new unusual project
food|option|fq15b|label|📞 I call friends — gather the crew
food|option|fq15c|label|🛋️ I wrap up in a blanket and binge a show
food|option|fq15d|label|🏋️ I go work out or do something productive
food|question|fq16|text|What's your fashion style?
food|option|fq16a|label|🧥 Classic and elegant — always impeccable
food|option|fq16b|label|🎨 Bold and bright — fashion is self-expression
food|option|fq16c|label|🥐 Airy and refined — French chic
food|option|fq16d|label|👕 Comfy and cozy — comfort is key
food|question|fq17|text|How do you organize your room?
food|option|fq17a|label|✨ Everything in its place — minimalism and order
food|option|fq17b|label|🎪 Creative chaos — but I know where everything is!
food|option|fq17c|label|🕯️ Candles, blankets, photos — a cozy nest
food|option|fq17d|label|🖼️ Stylish decor and curated aesthetics
food|question|fq18|text|What's your attitude to traditions?
food|option|fq18a|label|❤️ I love them! Family rituals are sacred
food|option|fq18b|label|🔄 I take the best of the old and add my own twist
food|option|fq18c|label|🚀 I create my own traditions — new generation!
food|option|fq18d|label|🤷 Traditions? I live in the moment
food|question|fq19|text|How do you act when you're excited?
food|option|fq19a|label|🗣️ I tell EVERYONE — I can't keep it in!
food|option|fq19b|label|😊 I smile quietly — savoring it inside
food|option|fq19c|label|🤗 I hug everyone around me!
food|option|fq19d|label|💃 I throw a mini celebration — cake and champagne!
food|question|fq20|text|What's your relationship with time/punctuality?
food|option|fq20a|label|⏰ Always on time — it's a matter of respect
food|option|fq20b|label|😅 Always late — but with a great story why
food|option|fq20c|label|📐 I arrive 5 minutes early — everything calculated
food|option|fq20d|label|🌸 Whenever the mood strikes — time is relative
food|question|fq21|text|How do you choose a movie to watch?
food|option|fq21a|label|⭐ Only high ratings and critic reviews
food|option|fq21b|label|🍿 Whatever friends recommend — watching together!
food|option|fq21c|label|🎲 Randomly! I click the first thing that catches my eye
food|option|fq21d|label|🎬 I pick deep, meaningful films
food|question|fq22|text|What's your approach to hobbies?
food|option|fq22a|label|🔥 I dive in deep — and become an expert
food|option|fq22b|label|🦋 I try a bit of everything — life is short!
food|option|fq22c|label|🎨 I choose something creative and aesthetic
food|option|fq22d|label|👨‍👩‍👧 My hobby is spending time with loved ones
food|question|fq23|text|How do you react to compliments?
food|option|fq23a|label|😳 I blush and don't know where to hide
food|option|fq23b|label|😎 Thanks! I know I'm awesome
food|option|fq23c|label|🥰 I melt and hug back
food|option|fq23d|label|💅 I accept gracefully — as one should
food|question|fq24|text|What's your energy like at a party?
food|option|fq24a|label|🎤 I'm the life of the party — everyone's around me!
food|option|fq24b|label|🗨️ I have deep conversations in a quiet corner
food|option|fq24c|label|🍷 I mingle elegantly, holding a glass
food|option|fq24d|label|🫂 Next to my closest people — I don't need more
food|question|fq25|text|How do you end your day?
food|option|fq25a|label|📓 I plan tomorrow and reflect on today
food|option|fq25b|label|🌙 Tea, a book, silence — the perfect ending
food|option|fq25c|label|📱 I text friends until 3 AM
food|option|fq25d|label|🛁 Bath bomb, face mask, aromatherapy
mythical|meta|title|Which mythical creature are you?
mythical|meta|description|Find out which magical being lives in your soul
mythical|meta|start_btn|Start
mythical|meta|result_title|You are
mythical|meta|share_btn|Share
mythical|meta|retry_btn|Try again
mythical|meta|progress|Question {current} of {total}
mythical|result|dragon|name|Dragon
mythical|result|dragon|desc|You're a force that cannot be ignored. Passionate, commanding, and unbreakable. When you enter a room — everyone feels it.
mythical|result|dragon|trait0|Power
mythical|result|dragon|trait1|Passion
mythical|result|dragon|trait2|Authority
mythical|result|phoenix|name|Phoenix
mythical|result|phoenix|desc|You always come back. After any fall you rise even stronger. Your resilience inspires everyone around you.
mythical|result|phoenix|trait0|Rebirth
mythical|result|phoenix|trait1|Resilience
mythical|result|phoenix|trait2|Hope
mythical|result|unicorn|name|Unicorn
mythical|result|unicorn|desc|You're purity and magic in its purest form. Rare and special — people are drawn to your light without even understanding why.
mythical|result|unicorn|trait0|Purity
mythical|result|unicorn|trait1|Magic
mythical|result|unicorn|trait2|Uniqueness
mythical|result|griffin|name|Griffin
mythical|result|griffin|desc|You combine wisdom and strength. A noble warrior with a golden heart — you defend justice and never betray your principles.
mythical|result|griffin|trait0|Nobility
mythical|result|griffin|trait1|Strength
mythical|result|griffin|trait2|Justice
mythical|result|mermaid|name|Mermaid
mythical|result|mermaid|desc|You're deep as the ocean. Enchanting voice, mysterious soul — you attract people with your mystery and beauty.
mythical|result|mermaid|trait0|Mystery
mythical|result|mermaid|trait1|Beauty
mythical|result|mermaid|trait2|Depth
mythical|result|werewolf|name|Werewolf
mythical|result|werewolf|desc|You have two sides — and both are real. Calm and reliable by day, but inside a wild force rages, waiting for its moment.
mythical|result|werewolf|trait0|Duality
mythical|result|werewolf|trait1|Instinct
mythical|result|werewolf|trait2|Wild power
mythical|result|fairy|name|Fairy
mythical|result|fairy|desc|You make the world magical just by being there. Light, cheerful, and a little mischievous — you bring joy wherever you appear.
mythical|result|fairy|trait0|Joy
mythical|result|fairy|trait1|Lightness
mythical|result|fairy|trait2|Mischief
mythical|result|kraken|name|Kraken
mythical|result|kraken|desc|You hide in the depths, but when you act — the earth trembles. A quiet strategist with colossal power. Better not underestimate you.
mythical|result|kraken|trait0|Strategy
mythical|result|kraken|trait1|Hidden power
mythical|result|kraken|trait2|Patience
mythical|result|centaur|name|Centaur
mythical|result|centaur|desc|You are a sage who reads the stars and finds truth in the movement of celestial bodies. Your philosophy runs deep, and your arrows fly unerringly true.
mythical|result|centaur|trait0|Wisdom
mythical|result|centaur|trait1|Philosophy
mythical|result|centaur|trait2|Precision
mythical|result|hydra|name|Hydra
mythical|result|hydra|desc|You are relentless and indestructible. Every obstacle only makes you stronger — for every head cut off, two more grow in its place.
mythical|result|hydra|trait0|Regeneration
mythical|result|hydra|trait1|Persistence
mythical|result|hydra|trait2|Unstoppability
mythical|result|sphinx|name|Sphinx
mythical|result|sphinx|desc|You are a guardian at the boundary of the known and unknown. Your riddles test the worthiness of all who dare approach the truth.
mythical|result|sphinx|trait0|Enigma
mythical|result|sphinx|trait1|Wisdom
mythical|result|sphinx|trait2|Trials
mythical|result|pegasus|name|Pegasus
mythical|result|pegasus|desc|You are a free spirit soaring above the clouds. Noble and poetic, you inspire everyone who lifts their eyes to the sky.
mythical|result|pegasus|trait0|Freedom
mythical|result|pegasus|trait1|Nobility
